company_name,linkedin_url
Harbour Energy,https://www.linkedin.com/company/harbour-energy-plc/
MOL Group,https://www.linkedin.com/company/mol-group/
Maersk Oil,https://www.linkedin.com/company/maersk-oil/
ORLEN S.A.,https://www.linkedin.com/company/orlen-s.a./
SBM Offshore,http://linkedin.com/company/sbmoffshore/
Wintershall Dea,https://www.linkedin.com/company/wintershalldea/
DNV - Oil & Gas,https://www.linkedin.com/company/dnv-oil-and-gas/
Umicore,https://www.linkedin.com/company/umicore/
ASML,https://www.linkedin.com/company/asml/
NXP Semiconductors,https://www.linkedin.com/company/nxp-semiconductors/
Royal Terberg Group,https://www.linkedin.com/company/terberg/
Prodrive Technologies,https://www.linkedin.com/company/prodrivetechnologies/
Aperam,https://www.linkedin.com/company/aperam/
ABB,https://www.linkedin.com/company/abb/
SKF,https://www.linkedin.com/company/skf/
FrieslandCampina,https://www.linkedin.com/company/frieslandcampina/
Signify,https://www.linkedin.com/company/signifycompany/
Nouryon,https://www.linkedin.com/company/nouryon/
Vynova,https://www.linkedin.com/company/vynova-group/
